date,score
02-07-2014,0.18115384615384617
03-07-2014,0.24642972972972974
04-07-2014,0.26127619047619055
05-07-2014,0.061714285714285715
06-07-2014,0.2851388888888889
07-07-2014,0.10697391304347828
08-07-2014,0.19797391304347825
09-07-2014,0.026944444444444444
10-07-2014,0.03699655172413793
11-07-2014,0.12131481481481482
12-07-2014,0.09563750000000001
13-07-2014,0.1848
14-07-2014,0.13128275862068967
15-07-2014,0.0728483870967742
16-07-2014,0.10310731707317074
17-07-2014,0.1131
18-07-2014,0.09982777777777778
19-07-2014,0.10730833333333334
20-07-2014,0.1452
21-07-2014,0.1873825
22-07-2014,0.13302500000000006
23-07-2014,0.13998732394366192
24-07-2014,0.08937500000000002
25-07-2014,0.1357974358974359
26-07-2014,0.27094444444444443
27-07-2014,0.08483333333333334
